date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
20-05-23,31,Muñecas,TINI,77,156318,album,14,16-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d
20-05-23,32,Normal,Feid,87,171880,album,15,14-09-22,TRUE,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3
20-05-23,33,Te Escapas De Mis Brazos (Remix),ECKO & Callejero Fino & El Perro,78,217826,single,1,02-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b2737ef4ee04cd88a4e05c08c99d
20-05-23,34,Marisola - Remix,Cris Mj & Duki & Nicki Nicole,87,237473,single,1,15-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b27384abc8c6cf1e122113f7ab8b
20-05-23,35,La Bachata,Manuel Turizo,86,162637,album,15,17-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
20-05-23,36,qué le pasa conmigo?,Nicki Nicole & Rels B,84,167251,single,1,19-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273878213cd3e852b72b1cf7598
20-05-23,37,Milagrosa,Milo j,82,140288,single,1,16-08-22,TRUE,https://i.scdn.co/image/ab67616d0000b27330e4bbfecc4cfa5b5d6cc14d
20-05-23,38,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,1,11-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
20-05-23,39,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,6,02-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99
20-05-23,40,PUNTO G,Quevedo,86,151324,album,16,20-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
20-05-23,41,Niña Bonita,Feid & Sean Paul,88,187653,single,1,21-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b27347b049fcbcc571271cc88d9f
20-05-23,42,aPoLLo13,Duki,78,160547,single,1,03-05-23,TRUE,https://i.scdn.co/image/ab67616d0000b2736ec15769b079e2848fe92302
20-05-23,43,ARRANCARMELO,WOS,80,183547,single,1,06-04-22,FALSE,https://i.scdn.co/image/ab67616d0000b273d8c9945c63f1806031dae6f0
20-05-23,44,Dale Mecha,Mesita,68,150829,single,1,02-05-23,FALSE,https://i.scdn.co/image/ab67616d0000b273419f7bb549d24a1c68bcdf93
20-05-23,45,Azote - Remix,Lolo OG & Callejero Fino & Alejo Isakk,75,226821,single,1,08-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b2736a986d01f25447772d7f5dee
20-05-23,46,Vida Gangster,Lauty Gram,81,170058,single,1,08-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b2735880b7d07ee4a577e0f6ffd7
20-05-23,47,Coco Chanel,Eladio Carrion,92,208125,album,18,17-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
20-05-23,48,Lisa,Young Miko,86,159306,single,1,03-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b2731fcf8dc413896f0fb5749141
20-05-23,49,Uno los Dos,Miranda!,69,215248,album,11,19-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b2730040ea3fe369688ad9757cf2
20-05-23,50,PLAYA DEL INGLÉS,Quevedo,84,237525,album,16,20-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
21-05-23,1,Un Finde | CROSSOVER #2,Big One & FMK & Ke Personajes,89,162500,single,1,04-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273fc9ce77ab8fcd9eadda3acd3
21-05-23,2,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,17-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
21-05-23,3,M.A - Remix,BM & Callejero Fino & La Joaqui,85,272727,single,1,05-04-23,TRUE,https://i.scdn.co/image/ab67616d0000b273cbbbad87cff1115a090ed190
21-05-23,4,Pobre Corazón - En Vivo,Ke Personajes & Onda Sabanera,84,198930,single,1,02-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b27370bfe435a7dc698bbf0883cf
21-05-23,5,Classy 101,Feid & Young Miko,95,195986,single,1,31-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
21-05-23,6,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,17-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
