date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
18-05-23,32,Te Escapas De Mis Brazos (Remix),ECKO & Callejero Fino & El Perro,78,217826,single,1,02-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b2737ef4ee04cd88a4e05c08c99d
18-05-23,33,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,6,02-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99
18-05-23,34,Marisola - Remix,Cris Mj & Duki & Nicki Nicole,87,237473,single,1,15-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b27384abc8c6cf1e122113f7ab8b
18-05-23,35,La Bachata,Manuel Turizo,86,162637,album,15,17-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
18-05-23,36,PUNTO G,Quevedo,86,151324,album,16,20-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
18-05-23,37,Milagrosa,Milo j,82,140288,single,1,16-08-22,TRUE,https://i.scdn.co/image/ab67616d0000b27330e4bbfecc4cfa5b5d6cc14d
18-05-23,38,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,1,11-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
18-05-23,39,aPoLLo13,Duki,78,160547,single,1,03-05-23,TRUE,https://i.scdn.co/image/ab67616d0000b2736ec15769b079e2848fe92302
18-05-23,40,ARRANCARMELO,WOS,80,183547,single,1,06-04-22,FALSE,https://i.scdn.co/image/ab67616d0000b273d8c9945c63f1806031dae6f0
18-05-23,41,Niña Bonita,Feid & Sean Paul,88,187653,single,1,21-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b27347b049fcbcc571271cc88d9f
18-05-23,42,qué le pasa conmigo?,Nicki Nicole & Rels B,84,167251,single,1,19-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273878213cd3e852b72b1cf7598
18-05-23,43,Coco Chanel,Eladio Carrion,92,208125,album,18,17-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
18-05-23,44,Azote - Remix,Lolo OG & Callejero Fino & Alejo Isakk,75,226821,single,1,08-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b2736a986d01f25447772d7f5dee
18-05-23,45,Vida Gangster,Lauty Gram,81,170058,single,1,08-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b2735880b7d07ee4a577e0f6ffd7
18-05-23,46,Lisa,Young Miko,86,159306,single,1,03-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b2731fcf8dc413896f0fb5749141
18-05-23,47,Uno los Dos,Miranda!,69,215248,album,11,19-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b2730040ea3fe369688ad9757cf2
18-05-23,48,PLAYA DEL INGLÉS,Quevedo,84,237525,album,16,20-01-23,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
18-05-23,49,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,1,06-07-22,FALSE,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf
18-05-23,50,MORNING,Milo j,79,123525,single,1,23-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b2732f1f92133b5800ff78e721d6
19-05-23,1,Un Finde | CROSSOVER #2,Big One & FMK & Ke Personajes,89,162500,single,1,04-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273fc9ce77ab8fcd9eadda3acd3
19-05-23,2,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,17-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
19-05-23,3,M.A - Remix,BM & Callejero Fino & La Joaqui,85,272727,single,1,05-04-23,TRUE,https://i.scdn.co/image/ab67616d0000b273cbbbad87cff1115a090ed190
19-05-23,4,Classy 101,Feid & Young Miko,95,195986,single,1,31-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
19-05-23,5,Pobre Corazón - En Vivo,Ke Personajes & Onda Sabanera,84,198930,single,1,02-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b27370bfe435a7dc698bbf0883cf
19-05-23,6,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,17-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
19-05-23,7,En La Intimidad | CROSSOVER #1,Big One & Emilia & Callejero Fino,85,165854,single,1,01-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b273bfc03d005bbc2f7e7abc889b
19-05-23,8,Ella Baila Sola,Eslabon Armado,89,165671,album,16,28-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
19-05-23,9,Ya No Vuelvas (Versión Cuarteto),Luck Ra & La K'onga & Ke Personajes,84,204000,single,1,01-12-22,FALSE,https://i.scdn.co/image/ab67616d0000b273b061c89b210b4e16bd808976
19-05-23,10,ADIÓS,Maria Becerra,80,160856,album,12,08-12-22,TRUE,https://i.scdn.co/image/ab67616d0000b27377ec4341ebb8a0dbfe2df739
19-05-23,11,Rara Vez,Taiu & Milo j,92,128677,single,1,08-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100
19-05-23,12,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,76,203636,single,1,03-05-23,TRUE,https://i.scdn.co/image/ab67616d0000b27332630fe83750d8db0b2b2d5c
19-05-23,13,M.A (Mejores Amigos),BM & Phontana,83,158309,single,1,20-09-22,TRUE,https://i.scdn.co/image/ab67616d0000b2737cdf45319edb9583efd3f1c9
19-05-23,14,Yandel 150,Yandel,90,216148,album,17,13-01-23,TRUE,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
19-05-23,15,Perfecta (Versión 2023),Miranda!,75,221053,album,11,19-04-23,FALSE,https://i.scdn.co/image/ab67616d0000b2730040ea3fe369688ad9757cf2
19-05-23,16,Jagger.mp3,Emilia,82,155861,single,1,30-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b273f9695983789ee4faffba9121
19-05-23,17,TQG,KAROL G,96,197933,album,17,24-02-23,TRUE,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
19-05-23,18,Cupido,TINI,84,174369,album,14,16-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d
19-05-23,19,MERCHO,LiL CaKe & Migrantes,90,161451,single,1,16-12-22,FALSE,https://i.scdn.co/image/ab67616d0000b2739f1f8adb00c71daa8a9cb22c
19-05-23,20,Acróstico,Shakira,83,170785,single,1,11-05-23,FALSE,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
19-05-23,21,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,24-03-23,FALSE,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
19-05-23,22,Si No Te Tengo / Ángel / Aquello Que Pasó,Ke Personajes,81,428438,single,1,17-08-21,FALSE,https://i.scdn.co/image/ab67616d0000b27361d8f01f54a346681218e81f
19-05-23,23,Quiero Creer,Luck Ra & La T y La M & Rusherking,78,145054,single,1,03-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b273751e3fea2ebed09f118eb99b
19-05-23,24,Costumbres - Vivo,Damas Gratis & Ke Personajes,80,133077,single,1,27-10-22,FALSE,https://i.scdn.co/image/ab67616d0000b273b726cbc446c49872d64d333d
19-05-23,25,Hey Mor,Ozuna,91,196600,album,18,07-10-22,FALSE,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45
19-05-23,26,DISCOTEKA (feat. Locura Mix),The La Planta & BM & Alejo Isakk,77,204480,single,1,16-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b2736eb51112e2a1f9d520e83344
19-05-23,27,Feliz Cumpleaños Ferxxo,Feid,89,155960,album,15,14-09-22,FALSE,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3
19-05-23,28,Muñecas,TINI,77,156318,album,14,16-02-23,FALSE,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d
19-05-23,29,AL BORDE,Milo j,79,148321,single,5,13-04-23,TRUE,https://i.scdn.co/image/ab67616d0000b273d4e2dc1a0cd59790ec3f91af
19-05-23,30,Amanecemos,La Joaqui & Alan Gomez,77,198183,single,1,16-03-23,TRUE,https://i.scdn.co/image/ab67616d0000b273c213ed3be7becdb1872921e9
